num	glyph	G0-source	description
426	匆	G0-3452	GB/T 2312—1980，20—50
427	从	G0-3453	GB/T 2312—1980，20—51
428	丛	G0-3454	GB/T 2312—1980，20—52
429	凑	G0-3455	GB/T 2312—1980，20—53
430	粗	G0-3456	GB/T 2312—1980，20—54
431	醋	G0-3457	GB/T 2312—1980，20—55
432	簇	G0-3458	GB/T 2312—1980，20—56
433	促	G0-3459	GB/T 2312—1980，20—57
434	蹿	G0-345A	GB/T 2312—1980，20—58
435	篡	G0-345B	GB/T 2312—1980，20—59
436	窜	G0-345C	GB/T 2312—1980，20—60
437	摧	G0-345D	GB/T 2312—1980，20—61
438	崔	G0-345E	GB/T 2312—1980，20—62
439	催	G0-345F	GB/T 2312—1980，20—63
440	脆	G0-3460	GB/T 2312—1980，20—64
441	瘁	G0-3461	GB/T 2312—1980，20—65
442	粹	G0-3462	GB/T 2312—1980，20—66
443	淬	G0-3463	GB/T 2312—1980，20—67
444	翠	G0-3464	GB/T 2312—1980，20—68
445	村	G0-3465	GB/T 2312—1980，20—69
446	存	G0-3466	GB/T 2312—1980，20—70
447	寸	G0-3467	GB/T 2312—1980，20—71
448	磋	G0-3468	GB/T 2312—1980，20—72
449	撮	G0-3469	GB/T 2312—1980，20—73
450	搓	G0-346A	GB/T 2312—1980，20—74
451	措	G0-346B	GB/T 2312—1980，20—75
452	挫	G0-346C	GB/T 2312—1980，20—76
453	错	G0-346D	GB/T 2312—1980，20—77
454	搭	G0-346E	GB/T 2312—1980，20—78
455	达	G0-346F	GB/T 2312—1980，20—79
456	答	G0-3470	GB/T 2312—1980，20—80
457	瘩	G0-3471	GB/T 2312—1980，20—81
458	打	G0-3472	GB/T 2312—1980，20—82
459	大	G0-3473	GB/T 2312—1980，20—83
460	呆	G0-3474	GB/T 2312—1980，20—84
461	歹	G0-3475	GB/T 2312—1980，20—85
462	傣	G0-3476	GB/T 2312—1980，20—86
463	戴	G0-3477	GB/T 2312—1980，20—87
464	带	G0-3478	GB/T 2312—1980，20—88
465	殆	G0-3479	GB/T 2312—1980，20—89
466	代	G0-347A	GB/T 2312—1980，20—90
467	贷	G0-347B	GB/T 2312—1980，20—91
468	袋	G0-347C	GB/T 2312—1980，20—92
469	待	G0-347D	GB/T 2312—1980，20—93
470	逮	G0-347E	GB/T 2312—1980，20—94
471	怠	G0-3521	GB/T 2312—1980，21—01
472	耽	G0-3522	GB/T 2312—1980，21—02
473	担	G0-3523	GB/T 2312—1980，21—03
474	丹	G0-3524	GB/T 2312—1980，21—04
475	单	G0-3525	GB/T 2312—1980，21—05
476	郸	G0-3526	GB/T 2312—1980，21—06
477	掸	G0-3527	GB/T 2312—1980，21—07
478	胆	G0-3528	GB/T 2312—1980，21—08
479	旦	G0-3529	GB/T 2312—1980，21—09
480	氮	G0-352A	GB/T 2312—1980，21—10
481	但	G0-352B	GB/T 2312—1980，21—11
482	惮	G0-352C	GB/T 2312—1980，21—12
483	淡	G0-352D	GB/T 2312—1980，21—13
484	诞	G0-352E	GB/T 2312—1980，21—14
485	弹	G0-352F	GB/T 2312—1980，21—15
486	蛋	G0-3530	GB/T 2312—1980，21—16
487	当	G0-3531	GB/T 2312—1980，21—17
488	挡	G0-3532	GB/T 2312—1980，21—18
489	党	G0-3533	GB/T 2312—1980，21—19
490	荡	G0-3534	GB/T 2312—1980，21—20
491	档	G0-3535	GB/T 2312—1980，21—21
492	刀	G0-3536	GB/T 2312—1980，21—22
493	捣	G0-3537	GB/T 2312—1980，21—23
494	蹈	G0-3538	GB/T 2312—1980，21—24
495	倒	G0-3539	GB/T 2312—1980，21—25
496	岛	G0-353A	GB/T 2312—1980，21—26
497	祷	G0-353B	GB/T 2312—1980，21—27
498	导	G0-353C	GB/T 2312—1980，21—28
499	到	G0-353D	GB/T 2312—1980，21—29
500	稻	G0-353E	GB/T 2312—1980，21—30
501	悼	G0-353F	GB/T 2312—1980，21—31
502	道	G0-3540	GB/T 2312—1980，21—32
503	盗	G0-3541	GB/T 2312—1980，21—33
504	德	G0-3542	GB/T 2312—1980，21—34
505	得	G0-3543	GB/T 2312—1980，21—35
506	的	G0-3544	GB/T 2312—1980，21—36
507	蹬	G0-3545	GB/T 2312—1980，21—37
508	灯	G0-3546	GB/T 2312—1980，21—38
509	登	G0-3547	GB/T 2312—1980，21—39
510	等	G0-3548	GB/T 2312—1980，21—40
511	瞪	G0-3549	GB/T 2312—1980，21—41
512	凳	G0-354A	GB/T 2312—1980，21—42
513	邓	G0-354B	GB/T 2312—1980，21—43
514	堤	G0-354C	GB/T 2312—1980，21—44
515	低	G0-354D	GB/T 2312—1980，21—45
516	滴	G0-354E	GB/T 2312—1980，21—46
517	迪	G0-354F	GB/T 2312—1980，21—47
518	敌	G0-3550	GB/T 2312—1980，21—48
519	笛	G0-3551	GB/T 2312—1980，21—49
520	狄	G0-3552	GB/T 2312—1980，21—50
521	涤	G0-3553	GB/T 2312—1980，21—51
522	翟	G0-3554	GB/T 2312—1980，21—52
523	嫡	G0-3555	GB/T 2312—1980，21—53
524	抵	G0-3556	GB/T 2312—1980，21—54
525	底	G0-3557	GB/T 2312—1980，21—55
526	地	G0-3558	GB/T 2312—1980，21—56
527	蒂	G0-3559	GB/T 2312—1980，21—57
528	第	G0-355A	GB/T 2312—1980，21—58
529	帝	G0-355B	GB/T 2312—1980，21—59
530	弟	G0-355C	GB/T 2312—1980，21—60
531	递	G0-355D	GB/T 2312—1980，21—61
532	缔	G0-355E	GB/T 2312—1980，21—62
533	颠	G0-355F	GB/T 2312—1980，21—63
534	掂	G0-3560	GB/T 2312—1980，21—64
535	滇	G0-3561	GB/T 2312—1980，21—65
536	碘	G0-3562	GB/T 2312—1980，21—66
537	点	G0-3563	GB/T 2312—1980，21—67
538	典	G0-3564	GB/T 2312—1980，21—68
539	靛	G0-3565	GB/T 2312—1980，21—69
540	垫	G0-3566	GB/T 2312—1980，21—70
